Text,Market_change
The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!,Down
Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,Down
So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great confidence that President Al Sisi will handle situation properly.,Down
Great Strategic and Policy CEO Forum today with my Cabinet Secretaries and top CEO's from around the United States. #AmericaFirst ,Down
"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare and Tax Cuts (Reform).",Down
"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them! U.S.A.",Down
I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,Down
"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",Down
Had a very good call last night with the President of China concerning the menace of North Korea.,Up
"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily and predicted victory!",Up
Great meeting w/ NATO Sec. Gen. We agreed on the importance of getting countries to pay their fair share and focus on the threat of terrorism. ,Up
It was a great honor to welcome Atlanta's heroic first responders to the White House this afternoon! ,Down
Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses and there will be lasting peace!,Down
"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",Down
"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",Down
Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,Down
"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",Down
Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,Down
I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?,Down
Someone should look into who paid for the small organized rallies yesterday. The election is over!,Down
"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",Down
"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",Up
"""The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!"" So true. @foxandfriends",Up
"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",Up
The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,Up
"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",Up
Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime and 2nd A.,Up
"Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!",Up
"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",Up
The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,Up
"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes and safety!",Up
See you tomorrow Wisconsin!'Trump spurs small-business optimism in Milwaukee area',Up
TRUMP APPROVAL HITS 50%,Up
"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!",NC
Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.,NC
Today I signed the Veterans (OUR HEROES) Choice Program Extension and Improvement Act @ the @WhiteHouse. #S544 Watch ,NC
A great honor to host the @SuperBowl Champion New England @Patriots at the White House today. Congratulations! ,NC
"Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H.",NC
"We're going to use American steel, we're going to use American labor, we are going to come first in all deals. ",NC
A great honor to host PM Paolo Gentiloni of Italy at the White House this afternoon! #ICYMI- Joint Press Conference: ,NC
Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!,NC
"No matter how much I accomplish during the ridiculous standard of the first 100 days, and it has been a lot (including S.C.), media will kill!",NC
"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",NC
I am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection. Jobs matter!,Up
"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",Up
Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,Up
"After 5 SB victories since 2002, it was my honor to give Bob Kraft, Coach Belichick, and the players their first tour of the WH Residence. ",Up
Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.,Up
ObamaCare is in serious trouble. The Dems need big money to keep it going - otherwise it dies far sooner than anyone would have thought.,Up
The Democrats don't want money from budget going to border wall despite the fact that it will stop drugs and very bad MS 13 gang members.,Up
"Eventually, but at a later date so we can get started early, Mexico will be paying, in some form, for the badly needed border wall.",Up
New polls out today are very good considering that much of the media is FAKE and almost always negative. Would still beat Hillary in  popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me and 53% said strong leader.,Up
"The two fake news polls released yesterday, ABC and NBC, while containing some very positive info, were totally wrong in General E. Watch!",NC
"The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If .the wall is not built, which it will be, the drug situation will NEVER be fixed the way it should be!#BuildTheWall",NC
Join me in congratulating @NASA's @AstroPeggy by using the hashtag #CongratsPeggy! Earlier today: ,NC
"If our healthcare plan is approved, you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral!",NC
"Today, I signed the Holocaust Remembrance Proclamation: #ICYMI- My statement last night at the @WorldJewishCong. ",NC
Canada has made business for our dairy farmers in Wisconsin and other border states very difficult. We will not stand for this. Watch!,Up
"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",Up
"Today, I signed an Executive Order on Enforcing Statutory Prohibitions on Federal Control of Education. EO: ",Down
"Today, I signed an Executive Order @ the U.S. Dept. of @Interior: 'Review of Designations Under the Antiquities Act' ",Down
First the Ninth Circuit rules against the ban and now it hits again on sanctuary cities-both ridiculous rulings. See you in the Supreme Court!,Down
"Out of our very big country, with many choices, does everyone notice that both the ""ban"" case and now the ""sanctuary"" case is brought in  the Ninth Circuit, which has a terrible record of being overturned (close to 80%). They used to call this ""judge shopping!"" Messy system.",Down
The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,Down
"Presidential Memorandum for the @CommerceGov, @SecretaryRoss re: Aluminum Imports and Threats to National Security: ",Down
.@FLOTUS Melania and I were honored to welcome Argentina President @MauricioMacri and First Lady Juliana Awada to the @WhiteHouse today ,Down
As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible!,Down
Democrats used to support border security - now they want illegals to pour through our borders.,Down
What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats.,Down
Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst,Down
I want to help our miners while the Democrats are blocking their healthcare.,Down
The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!,Down
"I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed subject to the fact that if we do not reach a fair deal for all, we will then terminate NAFTA. Relationships are good-deal very possible!",Down
"Democrats are trying to bail out insurance companies from disastrous #ObamaCare, and Puerto Rico with your tax dollars. Sad!",Down
"A great great honor to welcome and recognize the National Teacher of the Year, as well as the Teacher of the Year from each State and territory! ",Down
I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,Down
"Today, I signed an Executive Order on Improving Accountability and Whistleblower Protection at the @DeptVetAffairs: ",Up
"We are making tremendous progress with the V. A. There has never been so much done so quickly, and we have just started. We love our VETS!",Up
"Mainstream (FAKE) media refuses to state our long list of achievements, including 28 legislative signings, strong borders and great optimism!",NC
"North Korea disrespected the wishes of China and its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",NC
".@LouDobbs just stated that ""President Trump's successes are unmatched in recent presidential history"" Thank you Lou!",NC
"Looking forward to RALLY in the Great State of Pennsylvania tonight at 7:30. Big crowd, big energy!",NC
Big excitement last night in the Great State of Pennsylvania! Fantastic crowd and people. MAKE AMERICA GREAT AGAIN!,NC
"The Democrats, without a leader, have become the party of obstruction.They are only interested in themselves and not in what's best for U.S.",NC
You can't compare anything to ObamaCare because ObamaCare is dead. Dems want billions to go to Insurance Companies to bail out donors....New healthcare plan is on its way. Will have much lower premiums and deductibles while at the same time taking care of preexisting conditions!,NC
This month we celebrate the contributions of Asian Americans and Pacific Islanders that enrich our Nation. ,Up
#ICYMI- On Saturday I signed two EO's to help keep jobs and wealth in our country.EO1: EO2: ,Up
"President Andrew Jackson, who died 16 years before the Civil War started, saw it coming and was angry. Would never have let it happen!",Up
"The reason for the plan negotiated between the Republicans and Democrats is that we need 60 votes in the Senate which are not there! We either elect more Republican Senators in 2018 or change the rules now to 51%. Our country needs a good ""shutdown"" in September to fix mess!",Up
FBI Director Comey was the best thing that ever happened to Hillary Clinton in that he gave her a free pass for many bad deeds! The phony Trump/Russia story was an excuse used by the Democrats as justification for losing the election. Perhaps Trump just ran a great campaign?,Down
It was an honor to stop by a #SchoolChoice event hosted by @VP Pence and @usedgov Secretary @BetsyDeVosED at the @WhiteHouse today. ,Down
"If victorious, Republicans will be having a big press conference at the beautiful Rose Garden of the White House immediately after vote!",Up
Insurance companies are fleeing ObamaCare - it is dead. Our healthcare plan will lower premiums and deductibles - and be great healthcare!,Up
"I am watching the Democrats trying to defend the ""you can keep you doctor, you can keep your plan and premiums will go down"" ObamaCare lie.""",Up
The Fake News media is officially out of control. They will do or say anything in order to get attention - never been a time like this!,Up
"Death spiral!'Aetna will exit Obamacare markets in VA in 2018, citing expected losses on INDV plans this year'",Up
"Susan Rice, the former National Security Advisor to President Obama, is refusing to testify before a Senate Subcommittee next week on allegations of unmasking Trump transition officials. Not good!",Up
"Beautiful evening with Religious Leaders here at the WH last night. Join us now for a #NationalDayofPrayer, LIVE: ",Up
It was a GREAT day for the United States of America! This is a great plan that is a repeal and replace of ObamaCare. Make no mistake about it. ,NC
"An honor to welcome PM of Australia, @TurnbullMalcolm to America and join him in marking the 75th Anniversary of the Battle of the Coral Sea. ",NC
"Big win in the House - very exciting! But when everything comes together with the inclusion of Phase 2, we will have truly great healthcare!",NC
"Rather than causing a big disruption in N.Y.C., I will be working out of my home in Bedminster, N.J. this weekend. Also saves country money!",NC
Of course the Australians have better healthcare than we do --everybody does. ObamaCare is dead! But our healthcare will soon be great.,NC
"Wow,the Fake News media did everything in its power to make the Republican Healthcare victory look as bad as possible.Far better than Ocare!",Down
Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!,Down
"The reason I am staying in Bedminster, N. J., a beautiful community, is that staying in NYC is much more expensive and disruptive. Meetings!",Down
When will the Fake Media ask about the Dems dealings with Russia and why the DNC wouldn't allow the FBI to check their server or investigate?,Down
Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,Down
Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,Down
"Honored to welcome Georgia Prime Minister, Giorgi Kvirikashvili to the @WhiteHouse today with @VP Mike Pence. ",Down
Rexnord of Indiana made a deal during the Obama Administration to move to Mexico. Fired their employees. Tax product big that's sold in U.S.,Down
General Flynn was given the highest security clearance by the Obama Administration - but the Fake News seldom likes talking about that.,Down
"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.",Down
"Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",Down
Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,Down
"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",Down
Biggest story today between Clapper and Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,Down
"It was an honor to welcome the Teachers of the Year to the WH last month. Today, we honor and thank all teachers! #NationalTeachersDay ",Down
"'Manufacturing openings, hires rise to highest levels of the recovery'",Down
Dems have been complaining for months and months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,NC
The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.,NC
"Watching Senator Richard Blumenthal speak of Comey is a joke. ""Richie"" devised one of the greatest military frauds in U.S. history. For years, as a pol in Connecticut, Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When caught, he cried like a baby and begged for forgiveness...and now he is judge and jury. He should be the one who is investigated for his acts.",NC
"James Comey will be replaced by someone who will do a far better job, bringing back the spirit and prestige of the FBI.",NC
"The Democrats have said some of the worst things about James Comey, including the fact that he should be fired, but now they play so sad!",NC
"Comey lost the confidence of almost everyone in Washington, Republican and Democrat alike. When things calm down, they will be thanking me!",NC
"Cryin' Chuck Schumer stated recently, ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant. #draintheswamp",NC
"Yesterday, on the same day- I had meetings with Russian Foreign Minister Sergei Lavrov and the FM of Ukraine, Pavlo Klimkin.#LetsMakePeace! ",Down
Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,Down
The Democrats should be ashamed. This is a disgrace!#DrainTheSwamp ,Down
'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure' ,Down
'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity' ,Down
"As a very active President with lots of things happening, it is not possible for my surrogates to stand at podium with perfect accuracy! Maybe the best thing to do would be to cancel all future ""press briefings"" and hand out written responses for the sake of accuracy???",Up
"James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!",Up
"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",Up
"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",Up
"Today, @FLOTUS hosted a Military Mother's Day Event in the East Room of the WH. It was an honor to stop by, say hello, and introduce Melania! ",Up
"Today, I welcomed the Victory Christian Center School. Good luck @ the Team America Rocketry Challenge! #TARC Watch: ",Up
"Again, the story that there was collusion between the Russians and Trump campaign was fabricated by Dems as an excuse for losing the election.",Up
"I was thrilled to be back @LibertyU. Congratulations to the Class of 2017! This is your day, and you've earned it. ",NC
Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy #MothersDay,NC
"Today, I delivered remarks at the 36th Annual National Peace Officers' Memorial Service. #NationalPoliceWeekWatch: ",Up
"It was a great honor to welcome the President of Turkey, Recep Tayyip Erdogan, to the @WhiteHouse today! ",Up
#PeaceOfficersMemorialDay and#PoliceWeek Proclamation: ,Up
"As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS and terrorism.",Up
"I have been asking Director Comey and others, from the beginning of my administration, to find the LEAKERS in the intelligence community 'U.S. Industrial Production Surged in April' ",Up
It was my great honor to deliver the #CGACommencement17 at the @USCGAcademy. CONGRATULATIONS to the Class of 2017! ,Up
This is the single greatest witch hunt of a politician in American history!,Down
"With all of the illegal acts that took place in the Clinton campaign and Obama Administration, there was never a special counsel appointed!",Down
A great honor to welcome President Juan Manuel Santos of Colombia to the White House today! Joint Press Conf ,Up
"""President Donald J. Trump Proclaims 5/14/2017 through 5/20/2017 as #PoliceWeek""Proclamation #ThankACop #LESM ",Up
Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!,Up
"Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad ",NC
"Thank you to the BRAVE servicemen and women who have served, and continue to serve the United States- our true HEROES! #ArmedForcesDay ",NC
"Israel, Saudi Arabia and the Middle East were great. Trying hard for PEACE. Doing well. Heading to Vatican and Pope, then #G7 and #NATO.",Down
All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,Down
Honor of a lifetime to meet His Holiness Pope Francis. I leave the Vatican more determined than ever to pursue PEACE in our world. ,Up
Today's ceremony is a day for both remembrance and resolve.#NATOMeeting #NATO ,NC
"Thank you for your support. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN!#POTUSAbroad #USA ",NC
Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,Down
"Getting ready to engage G7 leaders on many issues including economic growth, terrorism, and security.",Down
Terrorists are engaged in a war against civilization- it is up to all who value life to confront and defeat this evil,Down
"On behalf of @FLOTUS Melania and myself, thank you for a wonderful dinner and evening, President Sergio Mattarella. #G7Taormina ",Down
"Big G7 meetings today. Lots of very important matters under discussion. First on the list, of course, is terrorism. #G7Taormina",NC
"Many NATO countries have agreed to step up payments considerably, as they should. Money is beginning to pour in- NATO will be much stronger.",NC
I will make my final decision on the Paris Accord next week!,NC
"Just left the #G7Summit. Had great meetings on everything, especially on trade where .""we push for the removal of all trade-distorting practices....to foster a truly level playing field.""",NC
I look forward to reading the @CommerceGov 232 analysis of steel and aluminum- to be released in June. Will take major action if necessary.,NC
"Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS, JOBS, JOBS!",NC
British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,NC
"Whenever you see the words 'sources say' in the fake news media, and they don't mention names .it is very possible that those sources don't exist but are made up by fake news writers. #FakeNews is the enemy!",NC
Does anyone notice how the Montana Congressional race was such a big deal to Dems and Fake News until the Republican won? V was poorly covered,NC
Just returned from Europe. Trip was a great success for America. Hard work but big results!,NC
Big win in Montana for Republicans!,NC
It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,NC
I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,Down
"The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well, actually ahead of schedule. Big benefits to all!",Down
The Fake News Media works hard at disparaging and demeaning my use of social media because they don't want America to hear the real story!,Down
"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay",Down
"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",Down
"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families and God bless the USA!",Down
I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,Down
"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO and military. Very bad for U.S. This will change",Up
Russian officials must be laughing at the U.S. and how a lame excuse for why the Dems lost the election has taken over the Fake News.,Up
"The U.S. Senate should switch to 51 votes, immediately, and get Healthcare and TAX CUTS approved, fast and easy. Dems would do it, no doubt!",Up
"It was an honor to welcome the Prime Minister of Vietnam, Nguyen Xuan Phuc to the @WhiteHouse this afternoon. ",Up
"We traveled the world to strengthen long-standing alliances, and to form new partnerships. See more at: ",Up
I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,Up
"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",Up
"Hopefully Republican Senators, good people all, can quickly get together and pass a new (repeal and replace) HEALTHCARE bill. Add saved $'s.",Up
"So now it is reported that the Democrats, who have excoriated Carter Page about Russia, don't want him to testify. He blows away their case against him and now wants to clear his name by showing ""the false or misleading testimony by James Comey, John Brennan..."" Witch Hunt!",Up
"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook and even Dems and DNC.",Down
"I will be announcing my decision on Paris Accord, Thursday at 3:00 P.M. The White House Rose Garden. MAKE AMERICA GREAT AGAIN!",Down
"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",Down
My job as President is to do everything within my power to give America a level playing field. #AmericaFirst ,Up
"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",NC
"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",NC
We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,NC
"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",NC
Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,NC
"Today, I announced an Air Traffic Control Initiative to take American air travel into the future - finally! ",Down
"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",Down
".@foxandfriends Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.",Down
.@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best! ,Down
The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - and seek much tougher version!,Down
"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",Down
"People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!",Down
In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!,Down
Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDay #Heroes ,NC
"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH",NC
"So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding extremism, and all reference was pointing to Qatar. Perhaps this will be the beginning of the end to the horror of terrorism!",NC
The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.,NC
Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!,NC
"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",NC
During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,NC
"Great meeting with @HouseGOP and @SenateGOP leaders, including @SpeakerRyan, @SenateMajLdr, @GOPLeader, @JohnCornyn and @SteveScalise. #USA ",Down
Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can't tolerate substandard care for our vets.,Down
"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.",Down
"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare and also Infrastructure!",Down
A great honor to host and welcome leaders from around America to the @WhiteHouse Infrastructure Summit. #InfrastructureWeek ,NC
"An honor to join the @FaithandFreedom Coalition yesterday. In America, we don't worship government. We worship God. #FaithandFreedom ",NC
Great reporting by @foxandfriends and so many others. Thank you!,NC
"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!",NC
Congratulations to Jeb Hensarling and Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!,NC
"It is time to rebuild OUR country, to bring back OUR jobs, to restore OUR dreams, and yes, to put #AmericaFirst! TY Ohio! #InfrastructureWeek ",NC
"Time to start building in our country, with American workers and with American iron, aluminum and steel. It is time to put #AmericaFirst ",NC
America is going to build again. Under budget and ahead of schedule. Time to put #AmericaFirst! #InfrastructureWeek ,NC
"The #FakeNews MSM doesn't report the great economic news since Election Day. #DOW up 16%. #NASDAQ up 19.5%. Drilling and energy sector way up. Regulations way down. 600,000+ new jobs added. Unemployment down to 4.3%. Business and economic enthusiasm way up- record levels!",NC
I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!',NC
"The Democrats have no message, not on economics, not on taxes, not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!",NC
"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",NC
"Great numbers on the economy. All of our work, including the passage of many bills and regulation killing Executive Orders, now kicking in!",NC
We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting. #OrlandoUnitedDay ,NC
"Finally held our first full @Cabinet meeting today. With this great team, we can restore American prosperity and bring real change to D.C. ",NC
"Just arrived in Wisconsin to discuss JOBS, JOBS, JOBS! #MAGA ",NC
"2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up, have no answer = resist!",NC
"Heading to the Great State of Wisconsin to talk about JOBS, JOBS, JOBS! Big progress being made as the Real News is reporting.",NC
A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!,NC
"Well, as predicted, the 9th Circuit did it again - Ruled against the TRAVEL BAN at such a dangerous time in the history of our country. S.C.",NC
The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!,NC
Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???,NC
The passage of the @DeptVetAffairs Accountability and Whistleblower Protection Act is GREAT news for veterans! I look forward to signing it! ,NC
"Rep. Steve Scalise of Louisiana, a true friend and patriot, was badly injured but will fully recover. Our thoughts and prayers are with him.",NC
"Just left hospital. Rep. Steve Scalise, one of the truly great people, is in very tough shape - but he is a real fighter. Pray for Steve!",Down
"They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice",Down
You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people! #MAGA,Down
"Why is that Hillary Clintons family and Dems dealings with Russia are not looked at, but my non-dealings are?",Down
"Crooked H destroyed phones w/ hammer, 'bleached' emails, and had husband meet w/AG days before she was cleared- and they talk about obstruction?",Down
I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt,Up
The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them,Up
"After 7 months of investigations and committee hearings about my ""collusion with the Russians,"" nobody has been able to show any proof. Sad!",Up
"Despite the phony Witch Hunt going on in America, the economic and jobs numbers are great. Regulations way down, jobs and enthusiasm way up!",Up
Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!,NC
Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for their assistance. ,NC
"The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm, massive regulation cuts, 36 new legislative bills signed, great new S.C.Justice, and Infrastructure, Healthcare and Tax Cuts in works!",NC
"The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating.That's higher than O's #'s!",NC
Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!,NC
"Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent .because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel.",Down
"Ralph Norman, who is running for Congress in SC's 5th District, will be a fantastic help to me in cutting taxes, and .getting great border security and healthcare. #VoteRalphNorman tomorrow!",Down
My heartfelt thoughts and prayers are with the 7 @USNavy sailors of the #USSFitzgerald and their families. ,Down
"The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H",Down
"Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R""",NC
"Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district.",NC
"KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY",NC
The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: ,NC
"While I greatly appreciate the efforts of President Xi and China to help with North Korea, it has not worked out. At least I know China tried!",NC
"Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work!",Up
"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News, all the money spent = 0",Up
